#       time         integral Re         integral Im
#       r =            20.000000           20.000000
   0.0000000    1.0716234687e-03   -2.3452535279e-20
   1.0000000    1.0670928800e-03   -3.5729528518e-21
   2.0000000    1.0583716591e-03    7.9992247401e-21
   3.0000000    1.0965040702e-03   -1.6254159910e-20
   4.0000000    1.1270605245e-03   -1.1369410278e-20
   5.0000000    9.8566686232e-04    1.2330155676e-20
   6.0000000    7.8894669999e-04   -4.3526102106e-21
   7.0000000    9.2340092154e-04   -2.5498898251e-20
   8.0000000    1.3637049751e-03    4.8887728860e-20
   9.0000000    1.5160973560e-03    8.6959609702e-20
  10.0000000    1.1204446591e-03   -3.0529247179e-21
  11.0000000    6.4000719155e-04    2.4887918277e-20
  12.0000000    4.0973413778e-04    9.2459106768e-22
  13.0000000    3.4635772119e-04    6.2688778911e-20
  14.0000000    4.6525707314e-04    1.9549448580e-19
  15.0000000    6.7267124188e-04    1.4222102678e-19
  16.0000000    6.0153667637e-04   -2.3393592178e-20
  17.0000000    2.9165504624e-04   -2.3532115377e-19
  18.0000000    1.8540540899e-04   -2.2597303688e-19
  19.0000000    2.9049572073e-04   -4.8720749790e-20
  20.0000000    2.2349888307e-04    1.1045739972e-19
  21.0000000   -5.7040854383e-05    1.1504968180e-19
  22.0000000   -1.9498349535e-04    4.2584747356e-20
  23.0000000    5.4862821255e-06    1.8495213009e-20
  24.0000000    2.8575715712e-04    1.2619204531e-19
  25.0000000    2.5743047850e-04    1.2513929687e-19
  26.0000000   -1.1448137476e-04   -2.0095350460e-20
  27.0000000   -4.3968943272e-04   -1.8672935343e-19
  28.0000000   -2.9700328908e-04   -2.7098094267e-19
  29.0000000    3.3091469411e-04   -1.4984091733e-19
  30.0000000    1.0204723579e-03    1.4405790647e-19
  31.0000000    1.2606492270e-03    3.5074531493e-19
  32.0000000    8.5744620486e-04    2.4486130118e-19
  33.0000000    7.1862651570e-05    4.0329027907e-20
  34.0000000   -5.9029874095e-04   -1.9417415496e-19
  35.0000000   -7.5045674143e-04   -2.3179163311e-19
  36.0000000   -4.0591653440e-04   -1.1269074680e-19
  37.0000000    1.1476426122e-04    6.8538209579e-21
  38.0000000    4.3358381480e-04    1.2179633104e-19
  39.0000000    4.0214110385e-04    1.0665189836e-19
  40.0000000    1.5568543400e-04    5.3741161746e-20
  41.0000000   -6.1671690399e-05   -1.0678851003e-20
  42.0000000   -1.0878842461e-04   -5.1736734721e-20
  43.0000000   -1.8400774896e-05   -4.7022538561e-20
  44.0000000    8.6650373516e-05   -2.0287355886e-20
  45.0000000    1.1666478165e-04    1.6834949950e-20
  46.0000000    7.0784210395e-05    2.8324301189e-20
  47.0000000    9.0026571804e-06    2.6908021020e-20
  48.0000000   -1.1837108612e-05    9.3098110648e-21
  49.0000000    1.6001202054e-05   -7.7107236176e-21
  50.0000000    5.5190585218e-05   -1.4796666065e-20
  51.0000000    6.7396639179e-05   -1.0542201110e-20
  52.0000000    4.9508195423e-05   -9.4142958944e-21
  53.0000000    2.7287682511e-05   -4.6763155261e-21
  54.0000000    2.2032188088e-05   -8.5571103522e-21
  55.0000000    3.0591341258e-05   -8.6556926290e-21
  56.0000000    3.5791825618e-05   -4.2435863061e-21
  57.0000000    2.8592738107e-05    8.3774214390e-21
  58.0000000    1.5479052220e-05    2.0116636622e-20
  59.0000000    6.8092283425e-06    2.3741028663e-20
  60.0000000    4.6417305174e-06    2.0619923970e-20
  61.0000000    4.8770780396e-06    1.6066683548e-20
  62.0000000    6.8020198430e-06    5.8852628120e-22
  63.0000000    1.4251273375e-05   -1.9434907224e-20
  64.0000000    2.6793070177e-05   -3.4125443899e-20
  65.0000000    3.4956078568e-05   -3.5003252946e-20
  66.0000000    2.8452061763e-05   -2.5656058514e-20
  67.0000000    7.8301432629e-06   -4.5335696306e-21
  68.0000000   -1.4388260046e-05    8.8441714647e-21
  69.0000000   -2.3725717648e-05    2.8093485576e-20
  70.0000000   -1.5175601950e-05    2.9177635698e-20
  71.0000000    3.3633626833e-06    3.6608550658e-20
  72.0000000    1.8342750611e-05    2.4516804076e-20
  73.0000000    2.2533272461e-05   -6.4613106799e-21
  74.0000000    2.1403924513e-05   -3.7084729971e-20
  75.0000000    2.7914663761e-05   -4.3178508142e-20
  76.0000000    5.0317938220e-05   -4.0102009005e-20
  77.0000000    8.4651804053e-05   -7.9632765426e-21
  78.0000000    1.1885377832e-04    3.4319041264e-20
  79.0000000    1.4379135714e-04    5.6261102159e-20
  80.0000000    1.6024095223e-04    4.0308541124e-20
  81.0000000    1.7458029011e-04    2.8109913401e-21
  82.0000000    1.8671785667e-04   -2.9182872010e-20
  83.0000000    1.8384015606e-04   -5.2282620206e-20
  84.0000000    1.5016115107e-04   -2.3002063841e-20
  85.0000000    8.4288859531e-05   -9.9374427910e-21
  86.0000000    5.3899910223e-06    4.7982114941e-20
  87.0000000   -5.7572802714e-05    3.7012137675e-20
  88.0000000   -8.2018631475e-05    2.0658640296e-20
  89.0000000   -6.0761195332e-05   -1.1514240537e-20
  90.0000000   -1.9872835636e-06   -3.6308269653e-20
  91.0000000    7.2559184826e-05   -4.0105668421e-20
  92.0000000    1.2654763437e-04   -1.2273299395e-20
  93.0000000    1.1251577472e-04    2.3626483147e-20
  94.0000000   -9.3782272940e-06    2.9629425263e-20
  95.0000000   -2.4008225768e-04    1.0587434575e-20
  96.0000000   -5.1696556588e-04   -4.5496242276e-20
  97.0000000   -7.1730671006e-04   -8.1047458975e-20
  98.0000000   -6.9874108505e-04   -2.6924703037e-20
  99.0000000   -3.6688406178e-04    4.8987809774e-20
 100.0000000    2.5633159919e-04    1.1331276141e-19
 101.0000000    1.0010181738e-03    1.3201480262e-19
 102.0000000    1.5863399312e-03    5.8023328325e-20
 103.0000000    1.7273563212e-03   -4.8733848606e-20
 104.0000000    1.2715911810e-03   -1.4691169664e-19
 105.0000000    3.0026349490e-04   -1.5380241842e-19
 106.0000000   -8.6656652819e-04   -6.6880207524e-20
 107.0000000   -1.7855228886e-03    9.7556280903e-21
 108.0000000   -2.0874288217e-03    1.2368261515e-19
