#       time             L^2_Ham             L^2_Mom
   0.0000000    3.7160531331e+00    0.0000000000e+00
   1.0000000    3.3821092121e+00    8.9955706745e-01
   2.0000000    2.7523767448e+00    1.3723829431e+00
   3.0000000    2.1214465564e+00    1.3909367984e+00
   4.0000000    1.9256314546e+00    1.1557311726e+00
   5.0000000    1.8596500643e+00    9.5632900909e-01
   6.0000000    1.6571076416e+00    8.3267331633e-01
   7.0000000    1.4484817144e+00    7.4852754504e-01
   8.0000000    1.2827033342e+00    6.6923674100e-01
   9.0000000    1.1442872029e+00    5.8814708413e-01
  10.0000000    1.0209712446e+00    5.1854173313e-01
  11.0000000    9.1878207745e-01    4.5911731209e-01
  12.0000000    8.3869316363e-01    4.0892270354e-01
  13.0000000    7.6934156439e-01    3.6653411561e-01
  14.0000000    7.0558561945e-01    3.3335999004e-01
  15.0000000    6.4553670930e-01    3.0646008511e-01
  16.0000000    5.9424110257e-01    2.8088524174e-01
  17.0000000    5.5622615742e-01    2.5560076024e-01
  18.0000000    5.2231076475e-01    2.3313530228e-01
  19.0000000    4.8595144370e-01    2.1505193557e-01
  20.0000000    4.5091164968e-01    1.9951236688e-01
  21.0000000    4.1979664685e-01    1.8496922261e-01
  22.0000000    3.9081840226e-01    1.7164995929e-01
  23.0000000    3.6364286061e-01    1.5966390246e-01
  24.0000000    3.3945201633e-01    1.4873998342e-01
  25.0000000    3.1784619888e-01    1.3927517729e-01
  26.0000000    2.9800903128e-01    1.3116966566e-01
  27.0000000    2.8044220097e-01    1.2379532142e-01
  28.0000000    2.6534450370e-01    1.1737127381e-01
  29.0000000    2.5244437263e-01    1.1218400139e-01
  30.0000000    2.4122128734e-01    1.0821207560e-01
  31.0000000    2.3119864909e-01    1.0599099742e-01
  32.0000000    2.2412338376e-01    1.0478426873e-01
  33.0000000    2.2017845105e-01    1.0290935590e-01
  34.0000000    2.1621817977e-01    1.0129658808e-01
  35.0000000    2.1053727733e-01    1.0167872582e-01
  36.0000000    2.0487357872e-01    1.0253322830e-01
  37.0000000    2.0362286422e-01    1.0186314074e-01
  38.0000000    2.0294476858e-01    1.0113841925e-01
  39.0000000    1.9712444800e-01    1.0016732468e-01
  40.0000000    1.9269127923e-01    9.7854989153e-02
  41.0000000    1.8999695303e-01    9.8265539722e-02
  42.0000000    1.8496114860e-01    9.9811015684e-02
  43.0000000    1.8384198845e-01    9.7609959215e-02
  44.0000000    1.8747522512e-01    9.4430019605e-02
  45.0000000    1.8958914211e-01    9.2875050854e-02
  46.0000000    1.8702567057e-01    9.3750391649e-02
  47.0000000    1.8271289098e-01    9.5854477083e-02
  48.0000000    1.8407208283e-01    9.4229618186e-02
  49.0000000    1.8812484701e-01    9.0368987774e-02
  50.0000000    1.8664171542e-01    8.9622371327e-02
  51.0000000    1.8315836110e-01    9.0314862604e-02
  52.0000000    1.8182766224e-01    8.9691906981e-02
  53.0000000    1.8102081125e-01    8.8154341950e-02
  54.0000000    1.8096493937e-01    8.6462350061e-02
  55.0000000    1.8035829154e-01    8.4999696265e-02
  56.0000000    1.7781420819e-01    8.3434895645e-02
  57.0000000    1.7525610971e-01    8.1707629985e-02
  58.0000000    1.7392487524e-01    7.9955225114e-02
  59.0000000    1.7207234321e-01    7.8125208978e-02
  60.0000000    1.6858418565e-01    7.6126764456e-02
  61.0000000    1.6598755354e-01    7.3666751559e-02
  62.0000000    1.6485637609e-01    7.1555637574e-02
  63.0000000    1.6158922414e-01    7.0315367409e-02
  64.0000000    1.5701922153e-01    6.8607718688e-02
  65.0000000    1.5550729705e-01    6.6281348817e-02
  66.0000000    1.5469327765e-01    6.4576851814e-02
  67.0000000    1.5092270421e-01    6.3141572693e-02
  68.0000000    1.4744771976e-01    6.1204944825e-02
  69.0000000    1.4603555928e-01    5.9347904491e-02
  70.0000000    1.4377260860e-01    5.7782424789e-02
  71.0000000    1.4092007094e-01    5.6126680472e-02
  72.0000000    1.3893686057e-01    5.4615547664e-02
  73.0000000    1.3658618340e-01    5.3216648238e-02
  74.0000000    1.3376314916e-01    5.1592929051e-02
  75.0000000    1.3145813013e-01    5.0087509777e-02
  76.0000000    1.2920475724e-01    4.8814613059e-02
  77.0000000    1.2669532628e-01    4.7284362530e-02
  78.0000000    1.2426559023e-01    4.5724912872e-02
  79.0000000    1.2224765449e-01    4.4545577110e-02
  80.0000000    1.2086934860e-01    4.3323088523e-02
  81.0000000    1.1901205473e-01    4.2250744193e-02
  82.0000000    1.1591975732e-01    4.1850939220e-02
  83.0000000    1.1340056546e-01    4.1022885858e-02
  84.0000000    1.1252718214e-01    3.9011631884e-02
  85.0000000    1.1126976954e-01    3.7606072540e-02
  86.0000000    1.0815932742e-01    3.8096888099e-02
  87.0000000    1.0499210294e-01    3.8565559659e-02
  88.0000000    1.0382513858e-01    3.7455572124e-02
  89.0000000    1.0366089716e-01    3.5882800499e-02
  90.0000000    1.0290709698e-01    3.4957643885e-02
  91.0000000    1.0153542740e-01    3.4377474612e-02
  92.0000000    9.9543154387e-02    3.4381713955e-02
  93.0000000    9.7294033404e-02    3.4968742624e-02
  94.0000000    9.6090797102e-02    3.4817107181e-02
  95.0000000    9.5919042928e-02    3.3728311343e-02
  96.0000000    9.5599256920e-02    3.3074676615e-02
  97.0000000    9.4830660765e-02    3.3207757265e-02
  98.0000000    9.3584080094e-02    3.3320554260e-02
  99.0000000    9.1792076328e-02    3.3285596822e-02
 100.0000000    9.0354782790e-02    3.3307040111e-02
 101.0000000    9.0146982000e-02    3.2912912285e-02
 102.0000000    9.0520879558e-02    3.1885462824e-02
 103.0000000    9.0128395077e-02    3.1350203791e-02
 104.0000000    8.8518809833e-02    3.2138757913e-02
 105.0000000    8.6830431817e-02    3.2739258052e-02
 106.0000000    8.6670489794e-02    3.1533243062e-02
 107.0000000    8.7363746324e-02    2.9759615206e-02
 108.0000000    8.6409956311e-02    2.9836677521e-02
 109.0000000    8.3762363750e-02    3.0968283740e-02
 110.0000000    8.2200882279e-02    3.0884476258e-02
 111.0000000    8.2479851752e-02    2.9760062368e-02
 112.0000000    8.2580615737e-02    2.9029930035e-02
 113.0000000    8.1787329407e-02    2.8884429444e-02
 114.0000000    8.1019322567e-02    2.8893128664e-02
 115.0000000    8.0511353844e-02    2.8918837173e-02
 116.0000000    7.9808698313e-02    2.8611406561e-02
 117.0000000    7.9015241563e-02    2.7783269551e-02
 118.0000000    7.8481174508e-02    2.7069589957e-02
 119.0000000    7.7712057737e-02    2.7122717582e-02
 120.0000000    7.6179813026e-02    2.7487687122e-02
 121.0000000    7.4827190593e-02    2.7261881351e-02
 122.0000000    7.4672286162e-02    2.6341604748e-02
 123.0000000    7.4954786450e-02    2.5432756694e-02
 124.0000000    7.4602546128e-02    2.5209005191e-02
 125.0000000    7.3495020735e-02    2.5569539518e-02
 126.0000000    7.1900495828e-02    2.5717341129e-02
 127.0000000    7.0598593166e-02    2.5164462219e-02
 128.0000000    7.0481854335e-02    2.4360067723e-02
 129.0000000    7.0994050371e-02    2.3936038614e-02
 130.0000000    7.0692831764e-02    2.3857651597e-02
 131.0000000    6.9293186888e-02    2.3827745364e-02
 132.0000000    6.7904535285e-02    2.3707269960e-02
 133.0000000    6.7441149652e-02    2.3375288466e-02
 134.0000000    6.7399530273e-02    2.2878599645e-02
 135.0000000    6.6696241607e-02    2.2613176475e-02
 136.0000000    6.5437294224e-02    2.2742175523e-02
 137.0000000    6.4869806604e-02    2.2652216029e-02
 138.0000000    6.5165636241e-02    2.1853887720e-02
 139.0000000    6.4832465699e-02    2.1112549464e-02
 140.0000000    6.3201317848e-02    2.1434263459e-02
 141.0000000    6.1683339162e-02    2.2018600479e-02
 142.0000000    6.1524536405e-02    2.1457468516e-02
 143.0000000    6.1714935103e-02    2.0173685700e-02
 144.0000000    6.0833264824e-02    1.9805525807e-02
 145.0000000    5.9398702953e-02    2.0343116975e-02
 146.0000000    5.8689667507e-02    2.0426422500e-02
 147.0000000    5.8498107318e-02    1.9839824120e-02
 148.0000000    5.7990940163e-02    1.9305351709e-02
 149.0000000    5.7267709858e-02    1.8996340195e-02
 150.0000000    5.6505522897e-02    1.8740060891e-02
 151.0000000    5.5329861678e-02    1.8734973052e-02
 152.0000000    5.4026507856e-02    1.8816336641e-02
 153.0000000    5.3588427775e-02    1.8277813251e-02
 154.0000000    5.3791153653e-02    1.7281595335e-02
 155.0000000    5.3281225972e-02    1.6976703631e-02
 156.0000000    5.2048174921e-02    1.7298651336e-02
 157.0000000    5.1442078871e-02    1.6976476889e-02
 158.0000000    5.1429128972e-02    1.6058716715e-02
 159.0000000    5.0712206632e-02    1.5726043670e-02
 160.0000000    4.9479117132e-02    1.5842573553e-02
 161.0000000    4.8927928061e-02    1.5458728011e-02
 162.0000000    4.8780617910e-02    1.4882718481e-02
 163.0000000    4.8142599005e-02    1.4826613789e-02
 164.0000000    4.7448046695e-02    1.4864012384e-02
 165.0000000    4.7301082291e-02    1.4509515126e-02
 166.0000000    4.7111019784e-02    1.4168421375e-02
 167.0000000    4.6401956722e-02    1.4127485098e-02
 168.0000000    4.5701666324e-02    1.4050276098e-02
 169.0000000    4.5365066300e-02    1.3807748549e-02
 170.0000000    4.5058540077e-02    1.3597107270e-02
 171.0000000    4.4653055180e-02    1.3419083017e-02
 172.0000000    4.4301970445e-02    1.3203971629e-02
 173.0000000    4.3871292168e-02    1.3056860031e-02
 174.0000000    4.3246495580e-02    1.3010393982e-02
 175.0000000    4.2712248047e-02    1.2931180319e-02
 176.0000000    4.2440891829e-02    1.2709393603e-02
 177.0000000    4.2147344408e-02    1.2383717195e-02
 178.0000000    4.1599580188e-02    1.2178163081e-02
 179.0000000    4.1015053691e-02    1.2205006540e-02
 180.0000000    4.0711457346e-02    1.2168126970e-02
 181.0000000    4.0602938433e-02    1.1860459807e-02
 182.0000000    4.0293630681e-02    1.1607068676e-02
 183.0000000    3.9648464435e-02    1.1640156383e-02
 184.0000000    3.9043271659e-02    1.1601880125e-02
 185.0000000    3.8809351971e-02    1.1276135663e-02
 186.0000000    3.8674835374e-02    1.1000162284e-02
 187.0000000    3.8269925948e-02    1.0984408591e-02
 188.0000000    3.7753211156e-02    1.0979059559e-02
 189.0000000    3.7396996199e-02    1.0819172714e-02
 190.0000000    3.7127875564e-02    1.0587037539e-02
 191.0000000    3.6826359795e-02    1.0365424442e-02
 192.0000000    3.6442384795e-02    1.0243256199e-02
 193.0000000    3.5879662855e-02    1.0256531079e-02
 194.0000000    3.5288555167e-02    1.0201581321e-02
 195.0000000    3.5018728316e-02    9.9072499795e-03
 196.0000000    3.4976284663e-02    9.6022320615e-03
 197.0000000    3.4705128516e-02    9.5996288174e-03
 198.0000000    3.4170612044e-02    9.6982614299e-03
 199.0000000    3.3785709246e-02    9.4800723717e-03
 200.0000000    3.3651558039e-02    9.0389585805e-03
 201.0000000    3.3390130489e-02    8.8700963601e-03
 202.0000000    3.2834716351e-02    9.0160697230e-03
 203.0000000    3.2320651336e-02    9.0092314952e-03
 204.0000000    3.2116900811e-02    8.6796259667e-03
 205.0000000    3.2014954158e-02    8.3586923947e-03
 206.0000000    3.1709233820e-02    8.3483287086e-03
 207.0000000    3.1226316385e-02    8.4834166473e-03
 208.0000000    3.0836995711e-02    8.3994999145e-03
 209.0000000    3.0689174200e-02    8.0371782337e-03
 210.0000000    3.0591465997e-02    7.7540399838e-03
 211.0000000    3.0260778826e-02    7.8376686442e-03
